id,cluster
366809,46
366810,-1
366811,67
366812,-1
366814,0
366815,2
366816,67
366817,63
366818,15
366819,12
366820,15
366821,58
366822,-1
366823,43
366824,85
366825,-1
366826,28
366827,48
366828,74
366829,3
366830,67
366831,-1
366832,-1
366833,98
366834,72
366835,-1
366836,75
366837,86
366838,59
366839,90
366840,78
366841,-1
366842,74
366843,-1
366844,-1
366845,76
366846,-1
366847,-1
366848,43
366849,-1
366850,74
366851,100
366852,86
366853,-1
366854,20
366855,74
366856,9
366857,89
366858,67
366859,24
366860,-1
366861,18
366862,-1
366863,33
366864,-1
366865,-1
366866,-1
366867,90
366868,-1
366869,-1
366870,89
366871,71
366872,51
366873,59
366874,15
366875,43
366876,18
366878,87
366880,70
366881,-1
366882,-1
366883,92
366884,-1
366885,67
366886,15
366887,-1
366888,50
366889,-1
366890,-1
366891,-1
366892,-1
366893,58
366894,76
366895,18
366896,-1
366898,89
366899,63
366900,67
366901,15
366902,67
366903,74
366904,29
366905,15
366906,44
366907,52
366908,58
366909,3
366910,58
366911,58
366912,29
366913,69
366914,10
366915,11
366916,42
366917,58
366918,58
366919,58
366920,3
366921,98
366922,-1
366923,26
366924,9
366925,7
366926,13
366927,58
366928,-1
366929,-1
366930,86
366931,10
366932,-1
366933,-1
366934,63
366935,59
366936,-1
366937,75
366938,30
366939,-1
366940,57
366941,-1
366942,58
366943,-1
366944,12
366945,80
366946,-1
366947,-1
366948,42
366949,58
366950,-1
366951,29
366952,58
366953,69
366954,100
366955,16
366956,58
366957,16
366958,99
366959,5
366960,19
366961,27
366962,-1
366963,63
366964,-1
366965,5
366966,58
366967,79
366968,-1
366969,69
366970,24
366971,100
366972,19
366973,-1
366974,98
366975,12
366976,-1
366977,69
366978,39
366979,58
366980,98
366981,89
366982,-1
366983,14
366984,-1
366985,-1
366986,23
366987,15
366988,61
366989,69
366990,60
366991,15
366992,67
366993,58
366994,69
366995,67
366996,67
366997,69
366998,28
366999,89
367000,-1
367002,0
367003,2
367004,12
367005,93
367006,-1
367007,-1
367008,-1
367009,70
367010,8
367011,67
367012,43
367013,-1
367014,85
367015,74
367016,65
367017,-1
367018,74
367019,-1
367020,67
367021,89
367022,78
367023,10
367024,95
367025,28
367026,89
367027,38
367028,-1
367029,12
367030,86
367031,41
367032,-1
367033,-1
367034,103
367035,56
367036,13
367037,15
367038,26
367039,-1
367040,101
367041,8
367042,75
367043,-1
367044,74
367045,84
367046,58
367047,54
367048,-1
367049,-1
367050,-1
367051,-1
367052,-1
367053,49
367054,89
367055,-1
367056,-1
367057,-1
367058,-1
367059,34
367060,54
367061,11
367062,75
367063,86
367064,-1
367065,-1
367066,18
367067,102
367068,84
367069,-1
367070,-1
367071,82
367072,72
367073,38
367074,81
367075,35
367076,-1
367077,-1
367078,102
367079,80
367080,8
367081,102
367082,98
367083,19
367084,98
367085,4
367086,-1
367087,69
367088,67
367089,8
367090,93
367091,-1
367092,-1
367093,-1
367094,65
367095,89
367096,57
367097,64
367098,59
367099,81
367101,84
367102,59
367103,-1
367104,-1
367105,58
367106,-1
367107,102
367108,-1
367109,-1
367110,58
367111,-1
367112,21
367113,-1
367114,-1
367115,37
367116,-1
367117,-1
367118,37
367119,40
367120,-1
367121,84
