id,cluster
366722,9
366723,2
366724,9
366725,1
366726,9
366727,0
366728,9
366729,8
366730,10
366731,9
366732,8
366733,0
366734,8
366735,8
366736,3
366737,8
366738,0
366739,0
366740,3
366741,1
366742,3
366743,8
366744,8
366745,8
366746,11
366747,11
366748,6
366749,9
366750,8
366751,8
366752,7
366753,0
366754,8
366755,3
366756,7
366757,7
366758,0
366760,0
366761,8
366763,3
366764,0
366765,8
366766,2
366767,3
366768,3
366769,5
366770,0
366771,2
366772,11
366773,0
366774,0
366775,3
366776,0
366777,4
366778,3
366779,0
366780,3
366781,1
366782,1
366783,5
366784,0
366785,11
366786,6
366787,4
366788,8
366789,8
366790,4
366791,4
366792,8
366793,1
366794,8
366795,3
366796,2
366797,0
366798,4
366799,3
366800,10
366801,6
366802,8
366803,1
366804,4
366805,8
366806,8
366807,3
366808,8
366809,1
366810,1
366811,4
366812,7
366814,2
366815,8
366816,2
366817,1
366818,2
366819,4
366820,0
366821,4
366822,8
366823,10
366824,11
366825,8
366826,1
366827,10
366828,0
366829,9
366830,4
366831,0
366832,0
366833,0
366834,8
366835,0
366836,9
366837,0
366838,1
366839,0
366840,8
366841,8
366842,0
366843,6
366844,8
366845,8
366846,8
366847,3
366848,10
366849,8
366850,8
366851,3
366852,0
366853,8
366854,8
366855,0
366856,1
366857,11
366858,4
366859,8
366860,8
366861,1
366862,0
366863,3
366864,8
366865,8
366866,8
366867,0
366868,8
366869,8
366870,11
366871,8
366872,8
366873,6
366874,1
366875,10
366876,1
366878,9
366880,0
366881,8
366882,1
366883,9
366884,8
366885,2
366886,8
366887,0
366888,8
366889,0
366890,0
366891,8
366892,0
366893,6
366894,8
366895,1
366896,1
366898,1
366899,1
366900,2
366901,6
366902,4
366903,0
366904,8
366905,1
366906,8
366907,1
366908,4
366909,9
366910,6
366911,2
366912,8
366913,6
366914,1
366915,8
366916,9
366917,2
366918,2
366919,2
366920,9
366921,0
366922,0
366923,8
366924,1
366925,8
366926,5
366927,2
366928,6
366929,2
366930,8
366931,1
366932,6
366933,7
366934,1
366935,2
366936,11
366937,9
366938,3
366939,1
366940,6
366941,8
366942,4
366943,5
366944,2
366945,8
366946,8
366947,8
366948,9
366949,4
366950,5
366951,9
366952,4
366953,5
366954,3
366955,7
366956,2
366957,3
366958,5
366959,5
366960,8
366961,3
366962,3
366963,1
366964,8
366965,0
366966,2
366967,10
366968,6
366969,1
366970,8
366971,3
366972,8
366973,5
366974,0
366975,2
366976,10
366977,8
366978,7
366979,2
366980,0
366981,11
366982,8
366983,2
366984,0
366985,1
366986,3
366987,1
366988,2
366989,1
366990,6
366991,2
366992,2
366993,4
366994,8
366995,2
366996,1
366997,1
366998,8
366999,11
367000,7
367002,2
367003,8
367004,4
367005,5
367006,8
367007,7
367008,0
367009,8
367010,8
367011,2
367012,1
367013,8
367014,11
367015,0
367016,8
367017,8
367018,0
367019,0
367020,2
367021,11
367022,9
367023,1
367024,0
367025,8
367026,11
367027,7
367028,8
367029,2
367030,9
367031,1
367032,1
367033,8
367034,1
367035,8
367036,8
367037,6
367038,3
367039,8
367040,0
367041,8
367042,8
367043,8
367044,0
367045,0
367046,2
367047,8
367048,0
367049,5
367050,1
367051,0
367052,0
367053,8
367054,11
367055,5
367056,0
367057,0
367058,0
367059,8
367060,8
367061,8
367062,9
367063,8
367064,8
367065,0
367066,8
367067,0
367068,0
367069,8
367070,0
367071,8
367072,11
367073,7
367074,8
367075,8
367076,8
367077,8
367078,0
367079,8
367080,8
367081,0
367082,0
367083,8
367084,5
367085,11
367086,0
367087,8
367088,8
367089,8
367090,5
367091,2
367092,6
367093,8
367094,8
367095,11
367096,6
367097,0
367098,2
367099,9
367101,0
367102,6
367103,2
367104,2
367105,2
367106,2
367107,0
367108,5
367109,7
367110,2
367111,7
367112,7
367113,8
367114,5
367115,7
367116,8
367117,8
367118,7
367119,8
367120,9
367121,8
367122,8
367123,0
367124,0
367125,8
367126,2
367127,5
367128,7
367129,1
367130,11
367131,1
367132,10
367133,0
367134,2
367135,8
367136,0
367137,0
367138,1
367139,0
367140,0
367141,2
367142,10
367143,9
367144,9
367145,2
367146,9
367147,8
367148,8
367149,9
367150,6
367151,2
367152,8
367153,8
367155,2
367156,8
367157,2
367158,2
367159,1
367160,2
367161,4
367162,1
367163,2
367164,5
367165,11
367166,8
367167,0
367168,0
367169,0
367170,8
367171,8
367172,0
367173,8
367174,3
367175,8
367176,8
367177,8
367178,8
367179,8
367180,2
367181,8
367182,6
367183,8
367184,11
367185,8
367186,4
367187,8
367188,8
367189,8
367190,8
367191,9
367192,0
367193,3
367194,1
367195,5
367196,1
367197,8
367198,0
367199,5
367200,8
367201,1
367202,0
367203,11
367204,8
367205,1
367206,10
367207,5
367208,0
367209,11
367210,0
367211,0
367212,8
367213,1
367214,1
367215,8
367216,1
367217,0
367218,9
367219,1
367220,3
367221,8
367222,3
367223,8
367224,0
367225,1
367226,0
367227,9
367228,0
367229,8
367230,1
367231,8
367232,4
367233,9
367234,4
367235,6
367236,3
367237,9
367238,9
367239,6
367240,8
367241,1
367242,0
367243,6
367244,11
367245,9
367246,1
367247,2
367248,0
367249,10
367250,2
367251,2
367252,6
367253,11
367254,9
367255,5
367256,2
367257,6
367258,2
367259,6
367260,9
367261,6
367262,4
367263,1
367264,8
367265,0
367266,2
367267,6
367268,11
367269,4
367270,4
367271,2
367272,4
367273,6
367274,8
367275,4
367276,6
367277,6
367278,2
367279,3
367280,2
367281,1
367282,6
367283,6
367284,3
367285,4
367286,4
367287,6
367288,2
367289,6
367290,6
367291,2
367292,4
367293,4
367294,2
367296,6
367297,4
367298,6
367299,6
367300,1
367301,8
367302,1
367303,8
367304,1
367305,3
367306,2
367307,0
367308,1
367309,11
367310,8
367311,2
367312,4
367313,8
367314,0
367315,8
367316,8
367317,1
367318,3
367319,11
367320,2
367321,1
367322,1
367323,1
367324,2
367325,8
367326,7
367328,4
367329,2
367330,6
367331,3
367332,6
367333,6
367334,4
367335,4
367336,8
367337,1
367338,2
367339,2
367340,4
367341,6
367342,1
367343,4
367344,8
367345,3
367346,7
367348,2
367349,8
367350,8
367351,3
367352,2
367353,8
367354,8
367355,3
367356,8
367357,0
367358,8
367359,1
367360,11
367361,8
367362,8
367363,2
367364,8
367365,5
367366,3
367367,0
367368,0
367369,0
367370,3
367371,6
367372,8
367373,8
367374,2
367375,8
367376,9
367377,1
367378,8
367379,7
367380,8
367381,3
367382,6
367383,9
367384,1
367385,8
367386,8
367387,8
367388,8
367389,8
367390,9
367391,8
367392,8
367393,8
367394,8
367395,2
367396,1
367397,4
367398,8
367399,8
367400,0
367401,2
367402,1
367403,8
367404,2
367405,1
367406,8
367407,8
367408,5
367409,9
367410,9
367411,11
367412,2
367413,2
367414,4
367415,10
367416,8
367417,8
367418,8
367419,2
367420,2
367421,8
367422,8
367423,8
367424,8
367425,1
367426,8
367427,8
367428,11
367429,2
367430,1
367431,1
367432,4
367433,7
367434,4
367435,7
367436,3
367437,4
367438,8
367439,8
367440,8
367442,2
367443,1
367444,8
367445,4
367446,3
367447,1
367448,8
367449,2
367450,6
367451,8
367452,2
367453,8
367454,3
367455,8
367456,8
367457,2
367458,4
367459,5
367460,3
367461,1
367462,8
367463,1
367464,1
367465,4
367466,8
367467,2
367468,8
367469,6
367470,4
367471,8
367472,9
367473,9
367474,8
367475,2
367476,8
367477,3
367478,8
367479,1
367480,8
367481,2
367482,4
367483,2
367484,3
367485,3
367486,8
367487,8
367488,8
367489,4
367490,7
367492,2
367493,8
367494,2
367495,8
367496,10
367497,10
367498,4
367499,7
367500,8
367501,11
367502,1
367503,0
367504,8
367505,1
367506,8
